acl 2.2.53-3
haskell-time-compat 1.9.3-7
haskell-timezone-olson 0.1.9-5
haskell-timezone-series 0.1.9-5
haskell-tls 1.5.4-14
haskell-transformers-base 0.4.5.2-68
haskell-transformers-compat 0.6.5-5
haskell-typed-process 0.2.6.0-32
haskell-unliftio-core 0.2.0.1-2
haskell-unordered-containers 0.2.10.0-41
haskell-utf8-string 1.0.1.1-17
haskell-uuid-types 1.0.3-29
haskell-vector 0.12.1.2-23
haskell-vector-algorithms 0.8.0.3-21
haskell-void 0.7.3-10
haskell-x11 1.9.1-22
haskell-x11-xft 0.3.1-76
haskell-x509 1.7.5-61
haskell-x509-store 1.6.7-60
haskell-x509-system 1.6.6-128
haskell-x509-validation 1.6.11-60
haskell-xml-conduit 1.9.0.0-24
haskell-xml-types 0.3.7-1
haskell-zlib 0.6.2.1-5
hicolor-icon-theme 0.17-2
hunspell 1.7.0-3
hwids 20200306-1
hwloc 2.2.0-1
iana-etc 20200601-1
icu 67.1-1
ijs 0.35-3
imagemagick 7.0.10.19-1
imlib2 1.6.1-2
insomnia 2020.2.2-1
intel-ucode 20200616-1
iproute2 5.7.0-1
iptables 1:1.8.5-2
iputils 20190709-2
iso-codes 4.5.0-1
jack 0.125.0-9
jansson 2.13.1-1
jasper 2.0.16-2
jbig2dec 0.18-1
js60 60.9.0-2
json-c 0.14-4
json-glib 1.4.4-2
kbd 2.2.0-5
keyutils 1.6.1-4
kmod 27-1
krb5 1.18.2-1
l-smash 2.14.5-2
lame 3.100-3
lcms2 2.11-1
ldb 1:2.1.3-1
ldns 1.7.1-2
less 551-3
lf 14-1
libarchive 3.4.3-1
libass 0.14.0-2
libassuan 2.5.3-2
libasyncns 0.8+3+g68cd5af-3
libavc1394 0.5.4-4
libbluray 1.2.0-3
libbsd 0.10.0-2
libcaca 0.99.beta19-3
libcanberra 0.30+2+gc0620e4-3
libcanberra-pulse 0.30+2+gc0620e4-3
libcap 2.35-1
libcap-ng 0.7.10-1
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libconfig 1.7.2-2
libcroco 0.6.13-2
libcups 2.3.3-1
libdaemon 0.14-5
libdatrie 0.2.12-2
libdbusmenu-qt5 0.9.3+16.04.20160218-5
libdrm 2.4.102-1
libdvdnav 6.1.0-2
libdvdread 6.1.1-1
libedit 20191231_3.1-1
libelf 0.179-1
libepoxy 1.5.4-2
libev 4.33-1
libevdev 1.9.0-1
libexif 0.6.22-1
libffi 3.3-3
libfontenc 1.1.4-2
libgcrypt 1.8.5-2
libglvnd 1.3.1-1
libgpg-error 1.38-1
libgudev 233-2
libgusb 0.3.4-1
libibus 1.5.22+8+gf591381e-1
libice 1.0.10-3
libid3tag 0.15.1b-11
libidn 1.35-3
libidn2 2.3.0-1
libiec61883 1.2.0-6
libinput 1.15.5-1
libjpeg-turbo 2.0.4-1
libksba 1.4.0-1
libldap 2.4.49-1
liblqr 0.4.2-3
libluv 1.36.0-1
libmfx 20.1.1-1
libmicrohttpd 0.9.70-3
libmm-glib 1.12.10-1
libmng 2.0.3-3
libmnl 1.0.4-3
libmodplug 0.8.9.0-3
libmpc 1.1.0-2
libndp 1.7-2
libnetfilter_conntrack 1.0.8-1
libnewt 0.52.21-3
libnfnetlink 1.0.1-4
libnftnl 1.1.7-1
libnghttp2 1.41.0-1
libnl 3.5.0-2
libnm 1.24.2-1
libnotify 0.7.9-1
libnsl 1.2.0-2
libogg 1.3.4-2
libomxil-bellagio 0.9.3-3
libp11-kit 0.23.20-5
libpaper 1.1.28-1
libpcap 1.9.1-2
libpciaccess 0.16-2
libpgm 5.2.122-5
libpipeline 1.5.2-1
libplacebo 1.29.1-3
libpng 1.6.37-2
libproxy 0.4.15+33+g454a499-1
libpsl 0.21.0-2
libpulse 13.0-3
libraqm 0.7.0-2
libraw1394 2.1.2-3
librsvg 2:2.48.7-1
libsamplerate 0.1.9-3
libsasl 2.1.27-3
libseccomp 2.4.2-1
libsecret 0.20.3-1
libsigc++ 2.10.3-1
libsm 1.2.3-2
libsndfile 1.0.28-3
libsodium 1.0.18-1
libsoup 2.70.0-1
